points,rebounds,assists,steals,blocks,3pts,name,height,num_championships,num_all_star_games,num_MVPs,num_final_mvps,HOF
11763,3039,5371,953,81,1236,Damon Stoudamire,70,0,0,0,0,0
8817,1751,5846,1007,154,27,Avery Johnson,70,1,0,0,0,0
9994,2174,4407,1142,226,394,Terrell Brandon,71,0,2,0,0,0
15373,2855,7095,1428,129,1542,Tim Hardaway,72,0,5,0,0,0
11825,3109,3212,852,253,83,Vinnie Johnson,74,2,0,0,0,0
7320,1321,2479,533,47,436,B.J. Armstrong,74,3,1,0,0,0
5560,906,2758,517,44,273,John Paxson,74,3,0,0,0,0
5437,1060,1658,476,46,726,Steve Kerr,75,5,0,0,0,0
5791,2141,4245,975,105,55,Eric Snow,75,0,0,0,0,0
15097,2987,2729,1224,276,775,Byron Scott,75,3,0,0,0,0
7038,1810,2484,576,65,243,Vinny Del Negro,76,0,0,0,0,0
16712,3724,3664,1294,399,1104,Latrell Sprewell,77,0,4,0,0,0
20497,3801,3398,1211,254,1326,Mitch Richmond,77,1,6,0,0,0
13910,4309,3916,1716,729,523,Ron Harper,78,5,0,0,0,0
18458,4578,2871,687,296,392,Mark Aguirre,78,2,3,0,0,0
8192,2402,1234,579,230,1150,Wesley Person,78,0,0,0,0,0
7492,3139,2456,989,232,621,Craig Ehlo,78,0,0,0,0,0
19004,4201,1746,974,183,1719,Dale Ellis,79,0,1,0,0,0
13220,3193,3527,729,315,746,Jalen Rose,80,0,0,0,0,0
15028,6239,2109,820,638,154,Shareef Abdur-Rahim,81,0,1,0,0,0
7933,5622,923,455,561,6,Brian Grant,81,0,0,0,0,0
10716,6376,1305,790,848,902,Donyell Marshall,81,0,0,0,0,0
13910,6937,4012,1289,808,2,Alvan Adams,81,0,1,0,0,0
9041,6755,1017,430,889,2,Antonio Davis,81,0,1,0,0,0
19460,8630,2190,1255,650,44,Terry Cummings,81,0,2,0,0,0
15761,7023,3833,856,312,475,Detlef Schrempf,81,0,3,0,0,0
17600,10370,2730,840,501,3,Otis Thorpe,81,1,1,0,0,0
6529,3825,807,360,171,0,Pat Cummings,81,0,0,0,0,0
9176,3384,1086,361,925,6,Antoine Carr,81,0,0,0,0,0
4475,2649,627,245,216,429,Austin Croshere,81,0,0,0,0,0
3061,2887,273,183,149,3,Terry Davis,81,0,0,0,0,0
12331,9473,1400,1033,546,124,A.C. Green,81,3,1,0,0,0
5680,3381,639,514,264,5,J.R. Reid,81,0,0,0,0,0
12878,5117,1077,464,500,0,Wayman Tisdale,81,0,0,0,0,0
13623,3696,1609,553,569,8,Orlando Woolridge,81,0,0,0,0,0
4120,2790,485,282,539,1,Aaron Williams,81,0,0,0,0,0
17182,8124,3526,1197,1200,264,Chris Webber,81,0,5,0,0,0
19591,6306,3094,1402,1390,1253,Clifford Robinson,82,0,1,0,0,0
5216,6939,840,368,3064,0,Mark Eaton,88,0,1,0,0,0
5342,1785,4481,1229,87,16,Brevin Knight,70,0,0,0,0,0
8072,1742,4342,922,111,320,Spud Webb,66,0,0,0,0,0
6858,2318,6726,1369,39,106,Muggsy Bogues,63,0,0,0,0,0
17949,2103,4402,1165,51,10,Calvin Murphy,69,0,1,0,0,1
7712,2269,3394,1133,98,923,Darrell Armstrong,72,0,0,0,0,0
8425,1672,4536,785,76,154,Sherman Douglas,72,0,0,0,0,0
11842,2405,4159,1280,161,1123,David Wesley,72,0,0,0,0,0
12810,6951,2141,701,1073,1,Mychal Thompson,82,2,0,0,0,0
12884,7232,1985,606,1051,326,Derrick Coleman,82,0,1,0,0,0
9810,3555,3119,817,290,731,Toni Kukoc,82,3,0,0,0,0
12996,9443,2575,1143,1136,4,Horace Grant,82,4,1,0,0,0
9206,3909,900,472,295,597,Keith Van Horn,82,0,0,0,0,0
20049,6703,2283,885,627,227,Tom Chambers,82,0,4,0,0,0
15687,7352,2393,872,2027,8,Larry Nance,82,0,3,0,0,0
15347,8834,1704,1185,1279,33,Shawn Kemp,82,0,6,0,0,0
9895,5589,2140,1079,492,208,Tom Gugliotta,82,0,1,0,0,0
5763,3378,1002,249,267,3,Jeff Ruland,82,0,1,0,0,0
5962,2308,977,412,253,51,Fred Roberts,82,0,0,0,0,0
11944,6509,1856,605,1605,8,Herb Williams,82,0,0,0,0,0
3825,3506,431,393,421,5,Scott Williams,82,3,0,0,0,0
11839,5867,1509,582,798,39,Vin Baker,83,0,4,0,0,0
8706,8605,978,691,1270,0,Dale Davis,83,0,1,0,0,0
9870,8409,1661,912,1116,8,P.J. Brown,83,1,0,0,0,0
13790,10400,2184,710,965,202,Bill Laimbeer,83,2,4,0,0,0
10805,6116,1199,702,1602,2,Elden Campbell,83,1,0,0,0,0
2882,1955,343,200,209,1,Michael Doleac,83,1,0,0,0,0
2819,1460,387,173,210,4,Stacey King,83,3,0,0,0,0
6191,4943,622,471,572,2,Lorenzen Wright,83,0,0,0,0,0
12195,3088,7392,2310,294,52,Maurice Cheeks,73,1,4,0,0,0
12658,2545,5777,726,92,1528,Nick Van Exel,73,0,1,0,0,0
2272,868,1233,321,19,116,Moochie Norris,73,0,0,0,0,0
17955,2430,3319,910,223,213,World B. Free,74,0,1,0,0,0
12065,1991,6386,1187,71,100,Norm Nixon,74,2,2,0,0,0
14463,4084,7987,1616,215,195,Rod Strickland,75,0,0,0,0,0
15659,3646,5281,1536,226,828,Jeff Hornacek,75,0,1,0,0,0
15635,3221,5939,1058,163,672,Sam Cassell,75,3,1,0,0,0
4368,1283,3013,821,69,95,Gary Grant,75,0,0,0,0,0
10882,4066,3929,2112,323,236,Alvin Robertson,75,0,4,0,0,0
400,167,82,56,4,50,Larry Robinson,75,0,0,0,0,0
11964,2768,4199,1133,132,1002,Danny Ainge,76,2,1,0,0,0
12670,2617,1909,985,238,1245,Dell Curry,76,0,0,0,0,0
9731,1645,1798,592,129,805,Rex Chapman,76,0,0,0,0,0
5871,2587,2126,912,164,388,Aaron McKie,77,0,0,0,0,0
176,64,34,19,10,0,Ron Carter,77,0,0,0,0,0
2986,1045,804,333,66,79,Michael Curry,77,0,0,0,0,0
7165,1983,1295,811,221,694,Kerry Kittles,77,0,0,0,0,0
7982,1803,956,517,127,30,Terry Teagle,77,0,0,0,0,0
10981,1838,1822,952,275,120,Mike Woodson,77,0,0,0,0,0
4166,1420,1376,597,122,79,David Wingate,77,0,0,0,0,0
10925,4265,2755,1194,360,1360,Dan Majerle,78,0,3,0,0,0
8693,3258,723,450,183,235,Cedric Ceballos,78,0,1,0,0,0
14155,3857,2812,1620,580,1546,Eddie Jones,78,0,3,0,0,0
4034,760,1201,257,65,17,Randy Wittman,78,0,0,0,0,0
11736,2646,2697,907,208,418,Gerald Wilkins,78,0,0,0,0,0
6477,1670,1292,459,189,37,Doug West,78,0,0,0,0,0
10483,6846,1346,880,794,10,Clarence Weatherspoon,78,0,0,0,0,0
13430,3060,2922,726,275,1148,Steve Smith,79,1,1,0,0,0
10684,3146,3525,1125,312,503,Anfernee Hardaway,79,0,4,0,0,0
11825,6339,2134,1439,799,58,Jerome Kersey,79,1,0,0,0,0
1451,1799,392,256,51,38,Ed Nealy,79,0,0,0,0,0
9468,3881,1722,868,451,690,Rodney Rogers,79,0,0,0,0,0
6663,2914,1085,874,203,685,Bryon Russell,79,0,0,0,0,0
11644,3271,2414,632,109,767,Jamal Mashburn,80,0,1,0,0,0
12417,12205,3217,1351,384,68,Charles Oakley,80,0,1,0,0,0
7026,4016,1704,569,321,82,Billy Owens,80,0,0,0,0,0
